"","X","ID","Name","Age","Nationality","Overall","Potential","Club","Preferred.Foot","International.Reputation","Weak.Foot","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"11",11,188545,"R. Lewandowski",29,"Poland",89.5957790304346,89.6446027551538,"FC Bayern München","Right",4,4,"ST",9,"2021","6'0","176lbs",62.5519374113865,91.3918879433999,85.1961136283199,82.6959911798022,89.1550427913675,84.6231325228794,77.2557886264101,85.8336330691768,65.005088757086,88.321700416222,77.1996865495345,77.9003057875506,78.2244272972679,89.2879726478254,78.3090260556128,88.206626690964,84.6385158047689,77.9827623210889,83.8138978576841,84.2951365953975,80.4413246032757,40.0666251462728,91.0668654175979,77.4074629642232,87.712451041833,86.1813055428086,33.9933557143176,42.4238280218419,18.8622309208961,15.851664818988,5.7263943574376,12.2132610600104,7.80639737048392,9.69835829511628
"12",12,182521,"T. Kroos",28,"Germany",90.1753371598461,90.118729101448,"Real Madrid","Right",4,5,"LCM",8,"2022","6'0","168lbs",87.278004332917,76.2005068083686,53.7588384608933,92.433952236923,82.2323195368548,81.3115085591816,85.5000332697747,83.757209363975,93.3674300761992,90.1101327617178,64.066982404996,61.031727422477,70.4658904536159,89.5887518362302,70.7821659258343,86.8749578473677,29.7403099404362,74.8202901712793,73.3084427675012,91.998760002533,60.4166440736485,82.4665187012419,79.8058073614149,86.6260415312461,72.7596250704352,85.0951303723639,72.2661219786372,79.5277309499621,68.3428970471738,9.9459845962084,10.8137042307268,13.0637233093439,6.30268099613646,10.1239178685925
"13",13,182493,"D. Godín",32,"Uruguay",90.4889084377118,90.173430194333,"Atlético Madrid","Right",3,3,"CB",10,"2019","6'2","172lbs",55.8036731217361,41.7774210047887,91.6209224507451,78.7150988102338,47.4142081507544,52.9785313620817,49.2142442426603,50.894834914449,69.3816563586335,75.7451419783159,68.2319611000303,67.4802213868172,58.2104789081901,85.8137285380914,53.7243867800954,66.9871651285102,91.208901039181,65.8871439824138,87.625197818861,43.3477795087555,88.6982960289562,87.7009414401197,48.2175767385626,51.9274706431699,49.9725750657626,82.0425661152474,89.513424202459,89.108969580256,89.0532864953885,6.82983381465618,7.57784371274853,15.2873381973024,4.83062348970905,15.2300893354519
"14",14,168542,"David Silva",32,"Spain",89.8778099379943,90.7797072313771,"Manchester City","Left",4,2,"LCM",21,"2020","5'8","148lbs",83.7272849537384,76.4382646384225,54.8095005605052,93.3971825577835,82.2359620190147,89.178750252007,81.6740315837871,76.3153802589477,86.3946774465123,93.9465466236464,69.4637630053452,64.4236635313701,92.5620612408553,89.6970179104862,89.6056583923992,71.9116663694542,63.9754102170587,77.837673746339,52.4650943898251,75.3397451584111,56.6235739281033,49.5361044352678,88.8929548401501,91.5444751744504,74.6599638869766,92.6015676976386,59.5359899029808,53.0930111527704,28.3073135769882,6.28688673626358,15.6076074330405,6.73214436653761,6.74571221571511,12.5808508297647
"15",15,215914,"N. Kanté",27,"France",88.2845279395892,89.9299341666677,"Chelsea","Right",3,3,"LDM",13,"2023","5'6","159lbs",68.1758875070513,65.0007754215505,53.3562735117764,86.3075269736456,56.092360847407,78.6539692629576,48.5609235434936,48.5037315906073,80.4069742237355,80.1783027903471,82.4459450194105,77.6648260383251,81.5965601996851,92.3083510420161,91.5088612546078,70.541709754517,77.0447394558067,96.4001380365871,76.2465879122812,69.0613893136698,90.0622535472746,92.6806233671288,70.9146947472209,78.7150771219208,54.4530516047477,84.7026033667798,89.6733037545431,91.6683455357264,85.2555666989574,15.165902847038,12.1872624028096,9.37999084967719,7.25297251812359,9.84743156716748
"16",16,211110,"P. Dybala",24,"Argentina",88.6117355943414,93.7168507471874,"Juventus","Left",3,3,"LF",21,"2022","5'10","165lbs",81.5535916359025,83.437490721132,68.3175336080194,86.7516215389084,87.8006672421146,91.607006606065,88.049920271576,88.5707812278228,74.8440350447521,91.2793656726784,87.0561386134902,83.0869048812748,91.184260885149,85.6133066463393,84.7451709490446,81.6071358951098,74.8896606209581,79.9837552990828,65.1280439149592,87.8897265171383,48.2753674444083,31.9160443831857,83.3430817872752,86.7085592547504,85.6272309209551,83.8686063813977,23.8938646065834,19.5723805942295,20.0879061146458,5.47070449382188,3.92823413604292,4.1398377310042,4.97638713292964,7.84779364814347
"17",17,202126,"H. Kane",24,"England",89.0027738758194,90.7994411045351,"Tottenham Hotspur","Right",3,4,"ST",9,"2024","6'2","196lbs",73.681532996776,93.5241491462065,85.2589750659886,79.940357980213,84.0706807330472,80.0329720800916,77.9968072749343,67.8828607984759,81.6724773854483,83.9820088931028,68.3607295962648,71.773426941662,71.353169397106,90.8393778278182,71.1002222180977,87.5585800475423,78.0926688809633,89.0001926941073,84.3713589016486,85.4399568587263,76.2508035271343,35.3198522398487,93.4224722456555,79.9928150955753,89.5871185619652,89.0388290432105,55.9668639222546,35.3912776873269,37.766320032648,7.59930728570754,10.1246732058416,11.8190646105125,14.4328992246828,11.2363201360665
"18",18,194765,"A. Griezmann",27,"France",88.7158632648685,90.3523452986892,"Atlético Madrid","Left",4,3,"CAM",7,"2023","5'9","161lbs",82.3493778151949,90.4219816649522,84.0895648716087,83.450682866883,87.42244446139,88.4859301196823,84.6798818537553,79.0068124758048,76.0533808480475,89.4328338853134,87.9566931364508,85.1250150740048,89.5961641242068,90.27671862961,80.333543963047,80.0847287215137,89.861742028537,82.7461545563987,62.2483054990776,82.3011028446548,69.190526249225,34.7614323177481,90.7533902089795,82.6896430546613,79.3560731119624,86.9270843818411,59.1605074446099,47.0275609170414,48.0818115158269,14.5799804659689,7.43838030547479,13.0172011898505,12.8781581065067,13.3865591708452
"19",19,192448,"M. ter Stegen",26,"Germany",88.7501570902896,91.5434187829839,"FC Barcelona","Right",3,4,"GK",22,"2022","6'2","187lbs",15.5276036398948,14.1399874840988,11.0064294715937,36.2424664366634,14.0427934807307,16.5331072131845,17.6376376536784,11.7931554191082,41.7862675990166,17.7769562250233,37.6410929198863,49.861974572199,37.4159424969392,85.5792928946349,42.9372845844557,21.9829458369296,79.1536955488974,35.8813711988099,79.2347708007789,9.63525976815107,43.1558868605176,21.9245577090035,11.0462026532513,68.3392029971217,24.3222872519913,68.7159225391013,25.0199011286089,12.9294893431625,9.94678495588945,87.3932339340839,84.0302245632545,88.188776905288,84.012219032189,90.0548353736352
"20",20,192119,"T. Courtois",26,"Belgium",89.5335826378971,90.1167762934677,"Real Madrid","Left",4,2,"GK",1,"2024","6'6","212lbs",14.4507631453875,13.7273985735894,12.666632162736,33.6329938792312,11.4590550988728,13.2605927378421,19.3250048045369,19.9254937056579,34.4434871789332,23.4653637171327,46.1567982449568,51.9822910196615,61.2601210432128,84.0794321807311,44.2224513526359,36.2184726041491,68.3212686643139,37.4167455813315,69.9694471270317,17.0773977404826,23.5080559512797,15.3659837929939,13.0504422853184,43.7280285452483,27.0785605881436,66.2555930658075,20.2652882167237,18.473231482492,15.9208876933964,84.5537358599124,91.0126523176907,72.0767974752042,86.2627746305212,87.5921091526245
"21",21,189511,"Sergio Busquets",29,"Spain",88.2449634177793,88.6132512048635,"FC Barcelona","Right",4,3,"CDM",5,"2023","6'2","168lbs",62.2671617347056,67.7521202140254,67.8790871787499,89.2223199008228,43.9068032910299,80.0662049938029,66.4367020036337,67.7710363720988,81.9717520326125,88.1517953121343,49.522252097963,51.7671691482282,65.9537391046777,87.5643304545365,51.5896973828688,60.7116863816685,66.0462496634744,86.8581941158463,77.2511183125191,53.7717317564361,84.5560799940108,86.1603133714565,76.2838816771562,86.5044083070831,59.4465719854352,89.2716828944379,89.7594606894366,86.1167065034539,79.9025827446143,3.92863091083593,8.44287926060155,13.3204110325951,9.91358238313605,12.9424976730108
"22",22,179813,"E. Cavani",31,"Uruguay",89.1322791138563,88.7661696857408,"Paris Saint-Germain","Right",4,4,"LS",21,"2020","6'1","170lbs",69.8546893279088,88.8871281822363,89.3813460555272,78.2236074579254,89.9609395484332,80.3968363565569,76.8258274380526,76.7975514169328,51.8392971873235,82.3392757965755,74.69492735025,75.8383466880204,76.8107851389953,90.5860455517709,58.5098901578664,87.1267314050467,87.6254459534386,92.1099365992404,77.6701304857138,79.7221771053044,84.3594958856638,47.9899655759013,93.5136902002359,77.5558773786709,84.8474845139001,81.9160202226366,51.9909647721501,44.0532070305725,39.1043859500991,11.8683738492951,5.26232027939923,12.9294172272513,12.3143721034263,10.2958035136689
"23",23,167495,"M. Neuer",32,"Germany",89.1456261304657,89.5798804058637,"FC Bayern München","Right",5,4,"GK",1,"2021","6'4","203lbs",15.4039758722275,13.2219193369838,24.97426816652,54.7714622532059,10.330230251626,31.0069605766802,14.3647115551178,11.0672240445526,59.1982313790015,48.095163164339,54.4472436805988,60.0888297470488,51.1963685993859,83.9022265699049,35.2184920893845,25.1931913436643,76.5209168765677,42.9329424305053,79.8147842385452,15.6593952735625,28.9824519678022,30.2769406535865,11.903641932887,70.0270381189507,46.9057458110879,70.1287886796557,17.0709319410671,9.28518278506186,11.6805032836834,90.484168915521,86.1801107074563,90.1905331278753,87.2003163534191,87.3311105311316
"24",24,153079,"S. Agüero",30,"Argentina",89.2140464439653,88.4201879909999,"Manchester City","Right",4,4,"ST",10,"2021","5'8","154lbs",70.0889127202586,93.3598919758481,77.2993215806179,80.5914459357896,84.6087525505751,89.8416700326528,82.6514140031082,72.4142848165903,63.8922188128997,88.9102986662858,87.7869643818748,79.8250520054172,86.7230184385645,90.2357011452779,91.0741603451616,87.9026435628192,82.0690061929891,75.5105268452322,73.0899354281139,83.1424718152263,64.9977020527168,23.9694725335075,92.029709958732,83.4471703685645,83.0262624626441,90.4986628496441,30.2811753095941,20.2173204827802,11.9329868602283,13.0898132995807,15.2770990814317,5.54582535717604,11.5370942200613,13.7466565760987
"25",25,138956,"G. Chiellini",33,"Italy",89.6302828608187,89.4369118161738,"Juventus","Left",4,3,"LCB",3,"2020","6'2","187lbs",58.2007871477549,32.4804888016688,82.8492192089458,58.7262719179677,45.0988300159091,57.5998138532579,59.9086415074054,31.316204220586,59.319754587295,57.0249078624012,63.6460392735389,74.6595658146991,53.1599089901421,81.9714572505552,54.9069625325667,77.7911002805035,89.1586101148335,64.6443502648061,89.3565711852547,48.9327270213843,91.8106795624932,87.4808265382583,27.9492007973287,50.0368120638996,49.6136303331261,83.1268208962555,92.0587903011979,92.8533014170781,89.7230173422654,3.00389472251242,3.21437906333337,2.54553119902036,3.43667515499631,3.30490260952726
"26",26,231747,"K. Mbappé",19,"France",87.8974732907835,95.0986271526862,"Paris Saint-Germain","Right",3,4,"RM",10,"2022","5'10","161lbs",77.824061185523,87.0297906193621,76.5327361247639,81.9056712577292,78.464318022563,90.3914592220702,77.4846266068392,63.040593543476,73.2347901015664,90.7797980807375,96.4366480180622,95.9502012699309,91.4986756855576,86.7296905256884,82.9802543234293,78.6162732183794,75.266163495986,83.4531089575605,71.6981453345585,78.234135531785,61.5132968677927,37.7314303717801,87.9453653721,81.7579644650849,70.2871871667723,85.9200247955945,33.6719361612048,34.4741089694975,32.4581911628171,13.5719373993928,4.92000195456357,7.49946658539359,11.0248389936635,6.24433168456889
"27",27,209331,"M. Salah",26,"Egypt",87.7541473925759,88.9625107957595,"Liverpool","Left",3,3,"RM",10,"2023","5'9","157lbs",77.2539180270928,90.2044840266631,59.3660056378935,81.8888249326581,73.2261379713002,89.030802264717,82.7811787168393,59.7765276385737,71.8100272909145,88.3161853422644,94.5168875510832,91.1105784844132,91.8520473143515,90.548802986289,87.8312211256566,77.0912678404542,68.4992298766227,83.5949703673704,69.2677597726873,83.0363464688924,63.3408224330506,54.6041297736211,90.2336415164059,81.498802805769,60.8455644209479,90.0608952118879,37.9967244088876,44.1346671497796,40.6718577684887,14.8571615741675,13.5613333532225,10.1162633135744,11.3355104880944,13.8534959198343
"28",28,200145,"Casemiro",26,"Brazil",88.0739453249707,89.61726863055,"Real Madrid","Right",3,3,"CDM",14,"2021","6'1","185lbs",51.8987829313638,59.4349881749259,75.837260318479,85.9023397581869,53.0515949667557,69.0012912398404,58.7060848079163,73.7365489082615,81.796824825294,77.3357307090806,59.2680328923221,65.6188802114106,61.952395193613,84.1955484263157,66.4209715592848,85.2559578558477,87.6409582075354,86.9191582307752,89.9059416148094,78.9315466304075,86.9732667103277,86.5753663740806,69.5009013023412,76.7352202057649,65.3796365266162,83.8271780476605,87.280681194975,89.9111330090072,86.3240957214398,13.8414984151614,14.2655572805406,15.6284578899526,11.4600936566795,11.544324780064
"29",29,198710,"J. Rodríguez",26,"Colombia",87.8879539878182,89.2593746064761,"FC Bayern München","Left",4,3,"LAM",10,"","5'11","172lbs",89.9711870267061,82.929864920428,61.9386229078415,89.0250841801547,90.3952167865465,84.7748327320431,89.3559412870643,86.2838136016886,82.4293917182357,90.134998499301,72.9734254797963,67.0142161900387,83.7102878092137,84.9130523526305,76.5163114695968,85.2569809896406,53.3716557575394,69.8467165682862,67.5483767805807,91.8285318836025,64.4393658616843,55.2539050625804,80.1900697213523,89.2898080392522,81.0321991731903,87.1248382904546,52.5535696211552,40.3929583117233,43.2994623258561,14.6699691778337,14.9848221420359,14.64009667618,4.3512595292357,13.9657113734213
"30",30,198219,"L. Insigne",27,"Italy",88.1941703233609,88.6212942443116,"Napoli","Right",3,3,"LW",10,"2022","5'4","130lbs",86.3994881745553,76.4966801344006,56.5328181353899,84.6209171483968,74.4502928242776,89.8127818772625,87.1600965789271,77.4786614451795,77.9717772134529,93.4101964397579,93.7911608360788,86.4080004067916,93.8149662344872,82.8495502211092,91.7958076997488,75.5540276250815,53.5395540391379,74.9352925837452,43.2954387111673,84.4646266507913,33.5536593067285,26.2597410456774,82.9587419383191,87.2322634416147,60.7353058275498,82.3092260735435,50.979148009302,24.4295045403921,22.0747385457932,8.02428214857067,4.26405693911477,14.7308730060256,9.32458828872938,10.3008505053022
"31",31,197781,"Isco",26,"Spain",88.6080887673161,90.8536143799183,"Real Madrid","Right",3,3,"LW",22,"2022","5'9","174lbs",73.7242791302052,78.9666608044096,55.2677752479209,88.852852522952,64.6841512388593,94.2446337953108,88.7392775862117,75.5291176711544,82.8749447642732,95.5064564221728,74.8185147883897,68.5613473327955,86.6983151140114,76.9839455791694,89.4590429833228,69.2117088291701,64.1420853946641,69.5704708052982,59.0543884487501,86.6958115156988,57.1749234410705,63.7750451183844,77.9072883058441,89.3675731795023,76.0046418308021,86.1141592075832,60.2857394063356,63.565188112955,51.8132903625769,9.65726794912531,8.80790043091892,11.7083080594626,14.1328961031591,6.14082634690695
"32",32,190460,"C. Eriksen",26,"Denmark",88.2941448100944,91.4670425819188,"Tottenham Hotspur","Right",3,5,"CAM",10,"2020","5'11","168lbs",87.707035325508,79.3091888288853,52.0895417747604,91.0146798360432,76.7099035893303,84.1269869958841,85.9734999018323,87.8144549683389,87.827661646647,91.3973059765512,75.3022415811228,72.8716712757149,79.3532142971973,88.1924820597314,81.3989957887909,84.0962476777701,50.220752701573,91.7049887448751,58.0384780237465,88.7546938666833,46.2655998972662,55.7961834632145,83.1238589366873,90.8182811609581,67.0613518655956,88.1297361588749,58.82488836687,56.9849682254424,21.4925423468916,8.79802530702495,14.7288738569898,7.76627169487896,7.04268719603058,5.85856417440514
"33",33,189242,"Coutinho",26,"Brazil",87.7571332190524,88.4757428327917,"FC Barcelona","Right",3,4,"LW",7,"2023","5'8","150lbs",78.7453176058439,79.2695889985312,48.7947055881946,87.8398163981044,75.0836511091255,90.9694816002324,90.9632225593762,86.4372519070139,82.7729587744302,92.3794483458755,89.4829646149733,74.9464395803872,91.7165383306417,82.5515520652717,93.2181917880935,84.2095332899073,59.2224057949168,79.1266003454929,61.1826662343572,93.3717169295755,58.7122882488891,48.5516643894673,84.0317731873142,89.9495454107956,70.0339202123462,85.0888573941741,55.6106060699225,53.0712478610518,47.2529452816201,12.1294059521507,6.99204615375191,9.17625964664306,14.3772801807976,5.78649317171684
"34",34,188567,"P. Aubameyang",29,"Gabon",88.3530130012141,88.1722525429047,"Arsenal","Right",3,4,"LM",14,"2021","6'2","176lbs",77.5496401032536,88.4433682413497,78.6246655760196,76.660201577004,86.3901007590967,79.1112273235693,80.4157149618434,73.9124891336311,63.8107289749447,81.4149018850353,92.8510471666999,94.8969372379468,76.0807910607609,87.4850757325866,70.4044888262421,82.200068873683,79.18587043952,76.1022727301066,75.4155647792553,78.9892309194311,42.3949121901315,47.1886361882078,90.1013009523679,77.5291286277526,75.9138642728578,86.213716121382,27.3431047111175,24.0144792655286,35.34656104308,5.55081645604116,8.85028015017576,14.7623001067507,8.69333148274394,9.86429124718536
"35",35,178603,"M. Hummels",29,"Germany",88.0172489431545,87.4507876585668,"FC Bayern München","Right",4,3,"LCB",5,"2021","6'3","203lbs",64.0831409432186,54.4992201264289,87.3889473484549,80.3194012991575,60.0543919308304,67.5078085092622,65.1234236992894,52.6350643482571,84.8979384550501,81.0680369567167,52.8891824733274,63.9900728934461,62.4752842144642,86.9572336568253,60.0881288739929,71.6450871637465,68.2810440135606,65.7423003593216,83.7476963423544,51.1929179484422,68.6225289738409,91.0827217343937,55.7724413187404,78.6200222551711,68.3198262535272,91.1276815899292,87.4012351082036,89.3882708290772,88.7039920361007,14.9231629878526,5.36067902174476,10.9132030809965,4.34353483692702,6.02150722760239
"36",36,176676,"Marcelo",30,"Brazil",87.5684005336911,88.3993552733214,"Real Madrid","Left",4,4,"LB",12,"2022","5'9","176lbs",89.6073496556119,69.8243937706077,75.5021426465805,83.9366201840678,54.6306151147832,90.0124496259023,84.6808975928525,67.4904331550703,75.3354539137173,92.8484487336551,82.8435639108791,81.8952621026734,86.5649254839431,88.0932669558551,86.4017257619426,82.8855445975389,76.2269197705579,91.5429759064211,78.063079893985,71.067606686516,84.0485729812868,84.4853883115338,85.1024534986696,81.7361089770681,58.617338819888,86.2965292826598,71.0589234707013,84.7752124578014,85.0780783806316,12.0035081321198,5.40979855436074,4.8596589582492,5.08933803605674,9.04426942229974
"37",37,173731,"G. Bale",28,"Wales",87.7748372396095,88.3225150530142,"Real Madrid","Left",4,3,"ST",11,"2022","6'1","181lbs",86.6051357678712,85.9054661321055,83.7517047693735,84.8095123490224,84.5467225797545,87.2670916281279,89.94709617548,86.8114414021042,80.1673567630531,84.8848182739673,94.0988392435045,94.9374557755094,82.5369195870445,84.681604164073,64.8964508323441,92.1622882846975,87.2030453270122,74.7455608256851,80.5586475358727,91.1917731387904,64.5426979352349,58.7259699018981,84.9792029776348,78.4685581567827,75.7016948211892,85.8005798176448,54.3335383543416,54.6226357016383,52.3063595712431,14.7740729540231,15.4286175994109,11.17223271449,4.55162075528028,6.43208465481962
"38",38,167948,"H. Lloris",31,"France",88.0052263705988,87.8901071725494,"Tottenham Hotspur","Left",4,1,"GK",1,"2022","6'2","181lbs",13.5243664256034,10.1862267312949,10.0512064275645,50.0087009721758,10.6430798857152,10.7646181911601,10.9165330312777,9.43159883634838,49.2502319701098,33.4219032449788,65.0857414217753,61.7418569598975,54.936061978104,84.5002019546113,54.1908383922543,23.6136772853203,74.0653870775862,41.2388040073873,42.6864477256676,13.7776613410083,30.8313981619646,26.8266767312294,9.74837035178583,29.8921154755278,39.2558451662712,65.0670533542058,28.3057994520829,9.17477496516709,17.2595540379827,88.4160896028514,83.9664658935249,67.5186904287804,82.9284425280144,92.3725906172616
"39",39,167664,"G. Higuaín",30,"Argentina",88.0232384187342,87.6307304935474,"Milan","Right",4,4,"LS",9,"Jun 30, 2019","6'1","196lbs",68.6263463876774,92.1713773878373,80.3767412845828,74.9329934642364,89.5772739908891,84.5874795562296,74.8308359858295,61.7002409874766,59.1024419998477,85.7227175363245,72.4847284470875,73.4770842679649,75.3962827126993,85.8351943213585,69.2670668602308,85.8671554947578,78.1876900121958,70.1223560373038,84.8033456806727,78.7698544662669,49.9655211051472,20.528792337354,92.0724638446596,74.5903384379075,70.50876311507,85.7782142408769,34.1361968990574,21.7413379415173,17.8233165992523,5.16597831838771,11.969063699312,7.40114423813496,5.15015241514327,9.64860599182409
